Name rus, Name eng,DOB,Gender,Description,Tag
Резников Владимир Тихонович,Reznikov Vladimir Tikhonovich,13.09.1946,male,"Member of the Legislative Assembly from the United Russia party, director of the energy company Gorseti",Regional investigations subjects
Рябов Дмитрий Владиславович,Riabov Dmitrii Vladislavovich,29.01.1967,male,Gazprom supplier. Linked to Arkady Rotenberg,Regional investigations subjects
Райдер Алексей Владимирович,Rider Alexey Vladimirovich,01.05.1979,male,"Deputy Governor of Tyumen Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

Deputy Governor of the Tyumen Region, Director of the Department of Education and Science, participant in a cartel conspiracy of supplies to preschool institutions in the region","Key Local Government Officials 
Vice-Governors

Regional investigations subjects"
Ринчинова (Куклина) Ольга Геннадьевна,Rinchinova (Kuklina) Olga Gennadevna,-,Female,"
Director, STATE TELEVISION AND RADIO BROADCASTING COMPANY ""IRKUTSK"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Ришар (Дрозденко) Юлия Александровна,Rishar (Drozdenko) Iuliia Aleksandrovna,28.07.1985,female,"Daughter of the governor of the Leningrad Oblast, owns real estate in France bought by the family of the governor",Regional investigations subjects
Рискин Марк Викторович,Riskin Mark Viktorovich,,Male,"Editor-in-Chief of the newspaper ""Iuzhnouralskaia panorama"" (owned by the Government of the Chelyabinsk region)","Propagandists
Regional press"
Рижинашвили Джордж Ильич,Rizhinashvili George Ilyich,16.05.1981,male,Member of the collegial executive body of PJSC RusHydro,Top Management of State Owned Companies
Родецкий Максим Станиславович,Rodetsky Maxim Stanislavovich,26.07.1979,male,"Head of the Department of the Federal Security Service of Russia for the Republic of Khakassia, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
Родина Виктория Сергеевна,Rodina Victoria Sergeevna,29.10.1989,female,Member of the State Duma of the Russian Federation (lower house of the federal parliament). This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Родионов Александр Борисович,Rodionov Alexander Borisovich,20.03.1956,male,"Head of the Directorate of the Federal Security Service of Russia for the city of St. Petersburg and the Leningrad Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
Родионов Алексей Николаевич,Rodionov Alexey Nikolaevich,,male,Investigator of the Investigation Department for the city of Tver of the Investigation Department of the Investigative Committee of the Russian Federation for the Tver Oblast. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Родионов Андрей Юрьевич,Rodionov Andrey Yurievich,03.07.1960,male,Husband Tereshkova's daughter. Owns with his wife the house in Italy.,"Individuals involved in corruption
Investigations subjects"
Родионов Дмитрий Андреевич,Rodionov Dmitry Andreevich,04.04.1986,male,"Deputy Prime Minister of the Government Republic of Karelia. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Родионова Елена Геннадьевна,Rodionova Elena Gennadievna,29.08.1974,female,Member of the Council of the Civic Chamber of Russia - a collegiate public body that imitates public support for the actions of the Russian authorities.,"Sellout opinion leaders
Public supporters of Putin"
Родионова Ольга Николаевна,Rodionova Olga Nikolaevna,29.12.1971,female,"Deputy Governor of Kursk Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Роднина Ирина Константиновна,Rodnina Irina Konstantinovna,12.09.1949,female,"Member of the State Duma of the Russian Federation (lower house of the federal parliament). This state body is responsible for political and legal support of the aggressive war against Ukraine.

Member of the Supreme Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","Members of Parliament and Senate
State Duma

“United Russia” party Functionaries 
Federal and regional party leaders"
Рогачиков Александр Евгеньевич,Rogachikov Alexander Evgenievich,03.02.1969,male,Military Prosecutor of the Pacific Fleet. Head of the state body responsible for ensuring the rule of law in the Russian military during the Russian invasion of Ukraine.,"Key ‘siloviki’ (security forces) figure 
Prosecutor’s Office"
Рогалев Николай Дмитриевич,Rogalyov Nikolay Dmitrievich,17.02.1962,male,"Rector of the National Research University Moscow Power Engineering Institute. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.

Member of the Board of Directors of PJSC ROSSETI 

Member of the Board of Directors of PJSC RusHydro","Warmongers
Educators

Top Management of State Owned Companies"
Роговенко Константин Юрьевич,Rogovenko Konstantin Yurievich,,Male,"Minister of Fuel, Energy and Coal Industry of the self-proclaimed Luhansk People's Republic. Assisted Russian aggression against Ukraine and the occupation of part of Ukrainian territory.","War Arrangers
Military staff and accomplices of Russian occupation"
Роговская Олеся Александровна,Rogovskaia Olesia Aleksandrovna,,Female,"Editor-in-Chief of the newspaper ""Gorodskie izvestiia"" (owned by the local government of the Kursk city)","Propagandists
Regional press"
Рогожин Сергей Львович,Rogozhin Sergey Lvovich,31.08.1963,male,Public figure. Expressed public support for the actions of the Russian army in Ukraine,"Sellout opinion leaders
Celebrities, influencers and bloggers"
Рогожина Ольга Викторовна,Rogozhina Olga Viktorovna,,female,Russian propagandist: Deputy chief editor of Life.ru.,"Propagandists
Federal media employees"
Рогозин Алексей Дмитриевич,Rogozin Alexey Dmitrievich,21.09.1983,male,Dmitry Rogozin's son. His father signs off expensive real estate in his name.,"Individuals involved in corruption
Investigations subjects"
Рогозин Дмитрий Олегович,Rogozin Dmitry Olegovich,21.12.1963,male,"Head of Roskosmos, earlier deputy prime minister in charge of defense industry.","Individuals involved in corruption
Investigations subjects"
Ролдугин Сергей Павлович,Roldugin Sergey Pavlovich,28.09.1951,Male,"Confidant of Vladimir Putin, formal holder of a part of the assets that, according to convincing evidence, are connected with Putin. According to the anti-corruption investigation by the ACF, Roldugin is involved in corruption in Russia.","Individuals involved in corruption
Investigations subjects"
Рольгейзер Оксана Валерьевна,Rolgeyser Oksana Valerievna,,female,"Judge of the Moscow City Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia. Including involved in the ""Magnitsky case""","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рольбинов Александр Семенович,Rollbinov Alexander Semenovich,22.08.1964,male,"Deputy Chairman of the Government Kaliningrad Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Ролик Александр Иванович,Roller Alexander Ivanovich,28.04.1956,male,Chairman of the Legislative Assembly of Primorsky Krai (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.,"Key Local Government Officials 
Speakers of the regional legislative assemblies"
РОМАНЧЕНКО АНДРЕЙ ЮРЬЕВИЧ,ROMANCHENKO ANDREY YURIEVICH,-,Male,"Director,FEDERAL STATE UNITARY ENTERPRISE ""RUSSIAN TELEVISION AND RADIO BROADCASTING NETWORK"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Романчук Иван Сергеевич,Romanchuk Ivan Sergeevich,1981,male,Rector of Tyumen State University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Романенко Александр Алексеевич,Romanenko Alexander Alekseevich,12.06.1959,male,"Chairman of the Altai Krai Legislative Assembly (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.

Secretary of the Altai Krai Regional Branch of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.""","Key Local Government Officials 
Speakers of the regional legislative assemblies

“United Russia” party Functionaries 
Federal and regional party leaders"
Романенко Роман Юрьевич,Romanenko Roman Yurievich,9.08.1971,male,Member of the State Duma of the Russian Federation (lower house of the federal parliament). This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Романенков Николай Семенович,Romanenkov Nikolay Semyonovich,04.05.1952,male,"Judge of the Supreme Court of the Russian Federation, Chairman of the Judiciary. Recognized the exclusion of Alexei Navalny from the presidential elections of March 18, 2018 as legitimate.","Organizers of political repressions
Judges, prosecutors, state investigators"
Романькова Екатерина Алексеевна,Romankova Yekaterina Alexeevna,,female,"Member of the Management Board, Deputy Chairman of the Management Board, Chief Accountant of JSC Russian Agricultural Bank",Top Management of State Owned Companies
Романов Александр Сергеевич,Romanov Alexander Sergeevich,18.01.1953,male,Chairman of the Saratov Oblast Duma (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.,"Key Local Government Officials 
Speakers of the regional legislative assemblies"
Романов Михаил Валентинович,Romanov Mikhail Valentinovich,3.11.1984,male,Member of the State Duma of the Russian Federation (lower house of the federal parliament). This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
Романов Роман Николаевич,Romanov Roman Nikolaevich,05.02.1981,male,"Deputy Head of the Central Executive Committee of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.""","“United Russia” party Functionaries 
Federal and regional party leaders"
Романов Владимир Викторович,Romanov Vladimir Viktorovich,14.09.1960,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Романова Галина Михайловна,Romanova Galina Maksimovna,01.02.1961,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Романова Ирина Викторовна,Romanova Irina Viktorovna,18.01.1975,female,Chairman of the Election Commission of the Saratov Oblast. Head of the state body responsible for supporting the existing political regime in Russia through electoral fraud.,"Election fraud organizers
Heads of the Central Election Commission and local election commissions"
Романова Светлана Владимировна,Romanova Svetlana Vladimirovna,,female,Judge of the Gagarinsky District Court of Moscow. Refused Alexei Navalny and FBK to accept a lawsuit against Prosecutor General Yuri Chaika,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Романовская Елена Васильевна,Romanovskaya Elena Vasilyevna,05.03.1966,female,"Deputy Chairman of the Council of Ministers of the Republic of Crimea. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Ромашкин Игорь Константинович,Romashkin Igor Konstantinovich,04.07.1965,male,"Head of the Directorate of the Ministry of Interior of Russia for the Astrakhan Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Ministry of Internal Affairs"
Рондик Ирина Николаевна,Rondik Irina Nikolaevna,30.11.1959,Female,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Рунье Зелько,Rooney Zelko,1954,male,Member of the collegial executive body of PJSC Rosneft Oil Company,Top Management of State Owned Companies
Роор Генри Гарриевич,Roor Genri Garrievich,,Male," Editor-in-Chief of the newspaper ""Altaiskaia pravda"" (owned by the Government of the Altai region)","Propagandists
Regional press"
Рошаль Леонид Михайлович,Roshal Leonid Mikhailovich,27.04.1933,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Рощенко Николай Павлович,Roshchenko Nikolay Pavlovich,15.05.1981,male,"Member of the Board of Directors of PJSC Federal Grid Company of the Unified Energy System (FGS UES)

Elected as a member of the Board of Directors of PJSC FGC UES after the start of the war in Ukraine",Top Management of State Owned Companies
Рослякова Анна Николаевна,Roslyakova Anna Nikolaevna,10.08.1983,female,"First Deputy Chairman of the Government Ryazan Oblast. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Россель Эдуард Эргартович,Rossel Eduard Ergartovich,08.10.1937,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Россеев Михаил Николаевич,Rosseyev Mikhail Nikolaevich,06.02.1975,male,Member of PJSC Gazprom's collegial executive body,Top Management of State Owned Companies
Россиус Ирина Александровна,Rossius Irina Aleksandrovna,22.10.1978,female,Russian propagandist: presenter on Vesti program (Russia 1 TV channel),"Propagandists
Federal media employees"
Россошанский Максим Юрьевич,Rossoshanskii Maksim Iurevich,20.09.1982,male,"Municipal deputy of the city of Revda (Murmansk Oblast), threatened local activists for their publications",Regional investigations subjects
Ротенберг Аркадий Романович,Rotenberg Arkady Romanovich,15.12.1951,male,"Russian oligarch. Amid the war, he remains involved in the system of Russian political corruption, in which capital is an instrument for acquiring political influence, and political influence is a condition for preserving capital, at the highest level.

Chairman of the Board of the Russian Ice Hockey Federation. Longtime friend of Putin. Receives state contracts without competition. Responsible for building the bridge that connects Crimea with Russia.

Involved in corruption schemes of PJSC Gazprom and its subsidiaries. Participated in the formation of corrupt sources of income for Vladimir Putin and his closest associates.","Individuals involved in corruption
Oligarchs

Individuals involved in corruption
Investigations subjects"
Ротенберг Борис Романович,Rotenberg Boris Romanovich,01.03.1957,male,Member of the Board of Directors of SMP Bank,"Individuals involved in corruption
Investigations subjects"
Ротенберг Игорь Аркадьевич,Rotenberg Igor Arkadyevich,09.05.1973,male,Chairman of the Board of Directors of OAO TEK Mosenergo. Chairman of the Board of Directors of OOO Gazprom burenie,"Individuals involved in corruption
Investigations subjects"
Ротенберг Роман Борисович,Rotenberg Roman Borisovich,07.04.1981,male,"Vice- President of Gasprombank (subject to U.S. sanctions). First Vice- President of Ice Hockey Federation of Russia and Deputy Chairman of Kontinental Hockey League (KHL). Advisor to the Chairman of the Management Board of Gazprombank. Son of Boris Romanovich ROTENBERG one of the largest Russian oligarchs and a personal close friend of Vladimir Putin. Boris Rotenberg is subject to UK sanctions as a person who is responsible for actively benefitting and/or supporting, materially or financially, Russian decision-makers responsible for the actions or policies which undermine or threaten the territorial integrity, sovereignty and independence of Ukraine, as well as stability and security in Ukraine.","Individuals involved in corruption
Investigations subjects"
Круглый Владимир Игоревич,Round Vladimir Igorevich,27.05.1955,male,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Ройтблат Ольга Владимировна,Roytblat Olga Vladimirovna,13.04.1953,Female,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Розанов Олег Васильевич,Rozanov Oleg Vasilievich,01.01.1969,male,"Member of the Izborsk Club, which unites the ideologists of modern Russian authoritarianism and the war in Ukraine","Warmongers
Ideologists of war"
Роженцев Сергей Викторович,Rozhentsev Sergei Viktorovich,10.03.1964,male,"Film director, scriptwriter, winner of international film festivals. Signed an open letter of cultural figures expressing ""support for the decision of the President of Russia to launch a military operation to denazify Ukraine and protect the republics of Donbass"".","Warmongers
Artists
"
Рожин Борис Александрович,Rozhin Boris Alexandrovich,14.07.1981,male,"Military expert associated with the Zvezda and Tsargrad TV channels. Conducts war propaganda in the Сolonelcassad Telegram channel (@boris_rozhin) and LiveJournal (https://colonelcassad.livejournal.com/)""","Propagandists
Federal media"
Рожин Дмитрий Васильевич,Rozhin Dmitry Vasilyevich,16.08.1980,male,"Deputy Chairman of the Government of Arkhangelsk Oblast . Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Рожин Нурий Николаевич,Rozhin Nuriy Nikolayevich,08.04.1974,male,"Judge of the Nenets Autonomous Okrug Regional Court. Involved in the unlawful prosecution of Yuri Zhdanov, father of ACF director Ivan Zhdanov","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рожкевич Александр Сергеевич,Rozhkevich Alexander Sergeevich,17.02.1985,male,"Head of the LLC ""ADM systems"". The company manufactures and (or) develops equipment for mass surveillance of Russian Internet users","Organizers of political repressions
Internet censors"
Рожков Анатолий Михайлович,Rozhkov Anatoly Mikhailovich,27.09.1962,male,"Deputy Governor of the Tomsk Oblast for Domestic Policy and Territorial Development. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Рожков Андрей Борисович,Rozhkov Andrey Borisovich,28.03.1971,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Рожков Евгений Геннадьевич,Rozhkov Evgeny Gennadyevich,18.10.1975,male,Russian propagandist: presenter on Vesti program (Russia 1 TV channel),"Propagandists
Federal media employees"
Розова Марина,Rozova Marina,,female,"Prosecutor of the Department of Public Prosecutors of the Criminal Judicial Department of the Moscow Prosecutor's Office. Involved in the fabricated ""Yves Rocher case"" against Alexei and Oleg Navalny","Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рубан Владимир Васильевич,Ruban Vladimir Vasilievich,,male,Judge of the Krasnodar Regional Court. Responsible for the criminal prosecution of citizens of the Russian Federation who oppose the current political regime in Russia,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
РУБЕЖНОЙ Алексей Александрович,Rubezhnoy Alexey Alexandrovich,01.03.1964,Male,"Deputy Director of the Federal Security Service of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Рубцов Евгений Леонидович,Rubtsov Evgeny Leonidovich,07.06.1952,Male,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Рубцова Нелли Владимировна,Rubtsova Nelli Vladimirovna,,female,Judge of the Zamoskvoretsky District Court of Moscow. Rejected the claim of the Anti-Corruption Foundation (FBK) against the Ministry of Justice with a demand to exclude the organization from the register of foreign agents,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рудь Николай Анатольевич,Rud Nikolai Anatolievich,01.11.1971,male,"Head of the Directorate of the Federal Security Service of Russia for the Bryansk Oblast, a federal state body that carries out political persecution in the territory under its jurisdiction against citizens and organizations that oppose Russia's aggressive war against Ukraine and are in opposition to the current political regime in Russia.","Key ‘siloviki’ (security forces) figure
Federal Security Services
"
Рудченко Валентина Васильевна,Rudchenko Valentina Vasilievna,26.04.1955,female,Chairman of the Duma of the Chukotka Autonomous Okrug (head of the regional parliament). Actively supports Russia's aggressive war against Ukraine and the Russian authoritarian political regime.,"Key Local Government Officials 
Speakers of the regional legislative assemblies"
РУДЕНКО АЛЕКСАНДР СЕРГЕЕВИЧ,RUDENKO ALEKSANDR SERGEYEVICH,-,Male,"Director, STATE UNITARY ENTERPRISE OF THE KRASNODAR REGION ""KRASNODAR STATE REGIONAL TV AND RADIO BROADCASTING COMPANY ""NEW TELEVISION OF KUBAN"". Involved in Russian propaganda of the war against Ukraine.",Chief editors and management of regional TV channels
Руденко Андрей Владимирович,Rudenko Andrey Vladimirovich,23.01.1981,male,"Propagandist, war correspondent of VGTRK","Propagandists
Federal media"
Руденко Андрей Юрьевич,Rudenko Andrey Yuryevich,24.09.1962,Male,"Deputy Minister of Foreign Affairs of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Руденко Гульзада Ракиповна,Rudenko Gulzada Rakipovna,30.08.1956,Female,"Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Putin’s Public Supporters
Presidential proxies in elections"
Руденко Елена Кирилловна,Rudenko Yelena (Elena) Kirillovna,,female,Russian propagandist: Deputy General Director of TASS information agency,"Propagandists
Federal media"
Руденский Игорь Николаевич,Rudensky Igor Nikolayevich,11.09.1962,male,"Deputy of State Duma from United Russia. Sosny real estate Cooperative.

Member of the State Duma of the Russian Federation (lower house of the federal parliament). This state body is responsible for political and legal support of the aggressive war against Ukraine.","Individuals involved in corruption
Investigations subjects

Members of Parliament and Senate
State Duma"
Руденя Игорь Михайлович,Rudenya Igor Mikhaylovich ,15.02.1968,male,"Governor of Tver Oblast. Manages a regional state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.

member of the Supreme Council and Secretary of the Tver Regional Branch of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.""","Region Heads
Governors

“United Russia” party Functionaries 
Federal and regional party leaders"
Руди Андрей Альбертович,Rudi Andrey Albertovich,,male,Judge of the Tomsk Regional Court. Involved in sabotaging the investigation into the poisoning of Alexei Navalny,"Organizers of political repressions
Judges, prosecutors, state investigators, etc"
Рудковская Яна Александровна,Rudkovskaya Yana Aleksandrovna,02.01.1975,female,Public figure. Expressed public support for the actions of the Russian army in Ukraine,"Sellout opinion leaders
Celebrities, influencers and bloggers"
Рудлофф Ханс-Йорг,Rudloff Hans-George,1940,male,Member of the Board of Directors of PJSC Rosneft Oil Company,Top Management of State Owned Companies
Руднев Максим Вячеславович,Rudnev Maxim Vyacheslavovich,10.09.1987,male,"Member of the General Council of the United Russia party. United Russia forms and implements Vladimir Putin's policy of aggression against territorial integrity, sovereignty and independence of Ukraine.","“United Russia” party Functionaries 
Federal and regional party leaders"
Рудницкий Георгий Михайлович,Rudnitskii Georgii Mikhailovich,,Male,"Director of the newspaper ""Vecherniaia Moskva"" (owned by the Government of the Moscow city)","Propagandists
Regional press"
Рудов Сергей Юрьевич,Rudov Sergey Yurievich,05.11.1968,male,"Russian businessman, member of the Civic Chamber of the Russian Federation. Involved in organizing propaganda campaigns in support of the Russian authorities and aggression against Ukraine.","Propagandists
Federal media"
Рудской Андрей Иванович,Rudskoy Andrey Ivanovich,19.02.1957,male,Rector of St. Petersburg State Polytechnical University Peter the Great. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators

Warmongers 
Scholars"
Рудской Сергей Федорович,Rudskoy Sergey Fyodorovich,02.10.1960,male,Official of the Ministry of Defense of the Russian Federation. Chief of the Main Operational Directorate of the General Staff of the Armed Forces of the Russian Federation - First Deputy Chief of the General Staff of the Armed Forces of the Russian Federation. Holds a senior position in the federal state body responsible for the military actions of the Russian armed forces against Ukraine.,"War Arrangers
Military staff and accomplices of Russian occupation"
Рудяк Валерий Яковлевич,Rudyak Valery Yakovlevich,15.06.1945,male,"Professor of the
Kutateladze Institute of Thermophysics. Actively supports Vladimir Putin's policy, which threatens the territorial integrity, sovereignty and independence of Ukraine.","Warmongers
Scholars"
Рудзевич Мария Владимировна,Rudzevich Mariia Vladimirovna,16.10.1978,female,"Former vice-governor of the Tyumen Oblast and Director of the Department of Informatization, one of the organizers of the ""IT cartel""",Regional investigations subjects
Рукавишников Сергей Михайлович,Rukavishnikov Sergey Mikhailovich,19.01.1981,Male,"Deputy Head of the Federal Service for Supervision of Education and Science of the Russian Federation. Manages a state body of the Russian Federation, which supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Senior Federal Officials
Executive branch and presidential administration employees"
Рукавишникова Ирина Валерьевна,Rukavishnikova Irina Valerievna,03.02.1973,female,"Member of the Federation Council of the Federal Assembly of the Russian Federation (upper house of the federal parliament). This state body is responsible for the political and legal support of the aggressive war against Ukraine, which included issuing permission for the use of Russian military forces outside the territory of Russia.","Members of Parliament and Senate
Federation Council"
Рукавишникова Людмила Васильевна,Rukavishnikova Liudmila Vasilyevna,29.04.1946,female,"Mother-in-law of Sergey Chemezov, close friend of Vladimir Putin and CEO of Rostec, the leading Russian state-controlled defence and industrial manufacturing corporation. Owns multiple luxury properties in Russia and Spain, some through offshore companies together with her granddaughter Anastasia Ignatova, the stepdaughter of Sergey Chemezov. Rukavishnikova received financial benefit from Chemezov's involvement in corruption schemes designed to obtain illegal sources of income through association with corrupt politicians.",Individuals involved in corruption Investigations subjects
Рукша Вячеслав Владимирович,Ruksha Vyacheslav Vladimirovich,17.02.1954,male,"Member of the Board of Directors of JSC United Shipbuilding Corporation

Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Top Management of State Owned Companies

Putin’s Public Supporters
Presidential proxies in elections"
Рулевский Виктор Михайлович,Rulevsky Victor Mikhaylovich,29.06.1980,male,Rector of the Tomsk State University of Control Systems and Radioelectronics. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Румянцев Александр Григорьевич,Rumyantsev Alexander Grigorievich,12.02.1947,male,"Member of the State Duma of the Russian Federation (lower house of the federal parliament). This state body is responsible for political and legal support of the aggressive war against Ukraine.

Trusted representative of presidential candidate Vladimir Putin. Trusted representatives ensured the re-election of Vladimir Putin, who has pursued an aggressive policy against Ukraine since 2014, in the non-competitive presidential election on March 18, 2018.","Members of Parliament and Senate
State Duma

Putin’s Public Supporters
Presidential proxies in elections"
Румянцев Дмитрий Евгеньевич,Rumyantsev Dmitry Evgenievich,24.05.1978,male,"Deputy Chairman of the Government Republic of Tuva. Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Румянцев Константин Николаевич,Rumyantsev Konstantin Nikolaevich,19.03.1982,male,"Deputy Governor of Krasnoyarsk Krai . Manages a regional state body of the Russian Federation that supports or implements actions or policies that undermine or threaten the territorial integrity, sovereignty and independence of Ukraine.","Key Local Government Officials 
Vice-Governors"
Румянцев Максим Валерьевич,Rumyantsev Maxim Valeryevich,21.08.1976,male,Rector of the Siberian Federal University. Signed an open letter of university rectors expressing support for the decision of the President of Russia to launch a military operation against Ukraine.,"Warmongers
Educators"
Румянцев Никита Геннадьевич,Rumyantsev Nikita Gennadievich,27.04.1988,male,Member of the State Duma of the Russian Federation (lower house of the federal parliament). This state body is responsible for political and legal support of the aggressive war against Ukraine.,"Members of Parliament and Senate
State Duma"
